FrameID,Head_x,Head_y,Beak_x,Beak_y,Robot_x,Robot_y,Robot_visible
369,436.7744445800781,812.3775024414062,454.2659301757813,808.4302978515625,880.0897216796875,880.0897216796875,y
370,437.0645446777344,812.7702026367188,454.5197143554688,809.425048828125,872.6983032226562,872.6983032226562,y
389,444.6843566894531,815.7261962890625,461.9173583984375,815.6281127929688,868.76611328125,868.76611328125,y
390,444.5257873535156,816.1109008789062,461.5523681640625,812.22509765625,868.6369018554688,868.6369018554688,y
391,444.4563598632813,816.62451171875,461.483154296875,812.5321044921875,868.8486938476562,868.8486938476562,y
392,444.0875854492188,817.025146484375,461.08831787109375,812.869384765625,871.7467041015625,871.7467041015625,y
393,444.234619140625,819.5396118164062,461.3763427734375,812.192138671875,868.9190673828125,868.9190673828125,y
394,444.4144592285156,817.2849731445312,461.25042724609375,813.0667114257812,871.6937866210938,871.6937866210938,y
395,444.4136047363281,817.2684936523438,461.2918701171875,813.0851440429688,868.857666015625,868.857666015625,y
396,444.9974060058594,819.793212890625,461.9205322265625,812.2700805664062,868.786865234375,868.786865234375,y
397,444.7203369140625,819.9061889648438,461.6582336425781,812.2857666015625,868.9347534179688,868.9347534179688,y
400,444.3843994140625,819.7822265625,461.42425537109375,812.2332153320312,871.6542358398438,871.6542358398438,y
401,444.5986328125,820.2547607421875,461.8146667480469,816.18896484375,868.756103515625,868.756103515625,y
402,443.96392822265625,820.0272827148438,461.060546875,812.7059936523438,868.7439575195312,868.7439575195312,y
403,444.1327209472656,819.66357421875,461.1910095214844,815.3326416015625,868.7962646484375,868.7962646484375,y
404,444.1347961425781,820.1491088867188,461.2252197265625,812.6383666992188,871.605224609375,871.605224609375,y
405,445.1564025878906,816.3866577148438,462.2866516113281,812.24755859375,868.7738037109375,868.7738037109375,y
406,440.1421203613281,812.7056884765625,456.9029846191406,824.9574584960938,868.7781982421875,868.7781982421875,y
407,436.44915771484375,811.968505859375,453.3003845214844,824.53857421875,871.6146850585938,871.6146850585938,y
412,436.560302734375,812.2151489257812,453.3368835449219,824.3693237304688,868.59130859375,868.59130859375,y
413,436.4042053222656,812.2694091796875,453.1671752929688,824.8446044921875,868.7592163085938,868.7592163085938,y
414,436.265869140625,812.3927001953125,453.140625,824.9744873046875,868.7576904296875,868.7576904296875,y
415,436.6024169921875,812.3590087890625,453.5764770507813,824.4086303710938,868.7189331054688,868.7189331054688,y
420,424.8914489746094,784.200439453125,433.2789611816406,769.0726928710938,871.6815795898438,871.6815795898438,y
421,424.1203002929688,783.9692993164062,432.0700988769531,768.5391235351562,868.9568481445312,868.9568481445312,y
422,423.8939208984375,784.35302734375,431.8964538574219,768.7374267578125,871.7249755859375,871.7249755859375,y
423,423.8703308105469,784.446533203125,431.926025390625,768.8821411132812,871.824951171875,871.824951171875,y
424,423.8094177246094,784.4229125976562,431.80419921875,768.9472045898438,871.8571166992188,871.8571166992188,y
425,423.9206237792969,784.5404052734375,432.0369873046875,769.1759643554688,868.8247680664062,868.8247680664062,y
426,416.3570861816406,796.7047119140625,408.5531921386719,780.432861328125,871.676513671875,871.676513671875,y
427,424.5827026367188,801.384765625,441.7105102539063,793.3447265625,868.9288940429688,868.9288940429688,y
428,424.7596740722656,801.370361328125,441.8749084472656,793.4415283203125,871.659423828125,871.659423828125,y
429,424.8870849609375,800.926025390625,441.91259765625,789.2977294921875,868.9400634765625,868.9400634765625,y
430,427.6364135742188,803.7271118164062,444.705078125,807.9271240234375,868.82275390625,868.82275390625,y
431,428.27099609375,804.64501953125,445.0769653320313,816.78271484375,868.7428588867188,868.7428588867188,y
440,428.4685974121094,804.1515502929688,445.8296508789063,800.3784790039062,868.573486328125,868.573486328125,y
441,428.4398193359375,803.7020263671875,445.7382507324219,796.2997436523438,871.6700439453125,871.6700439453125,y
442,428.6818542480469,804.55126953125,445.8392333984375,809.4368286132812,871.8731079101562,871.8731079101562,y
444,428.3539123535156,804.5614013671875,445.4582824707031,808.8388671875,868.5469360351562,868.5469360351562,y
445,431.5289001464844,804.4496459960938,448.7768859863281,800.6538696289062,868.596923828125,868.596923828125,y
446,431.9066162109375,805.1605834960938,449.314208984375,801.607421875,868.5755004882812,868.5755004882812,y
447,428.530517578125,807.7039184570312,443.4737548828125,822.3843994140625,871.8291015625,871.8291015625,y
448,428.2884826660156,804.5643310546875,445.3521118164063,808.6800537109375,871.660400390625,871.660400390625,y
449,428.2179565429688,804.6688232421875,445.2467651367188,809.2952270507812,868.7200317382812,868.7200317382812,y
450,428.060546875,805.1138916015625,444.8497314453125,817.4699096679688,871.7858276367188,871.7858276367188,y
451,428.4443664550781,805.215087890625,445.0706481933594,817.284912109375,871.7579345703125,871.7579345703125,y
452,428.7814025878906,807.572021484375,443.50048828125,824.0108642578125,871.706298828125,871.706298828125,y
453,428.7018432617188,807.687255859375,443.7000122070313,823.9986572265625,868.8056640625,868.8056640625,y
454,431.7346496582031,807.41162109375,446.6781311035156,821.734375,868.79736328125,868.79736328125,y
455,432.2016906738281,807.6572875976562,448.7855224609375,820.1018676757812,868.8640747070312,868.8640747070312,y
457,432.0130004882813,808.1729125976562,447.1397399902344,822.6485595703125,868.7681274414062,868.7681274414062,y
458,431.8723449707031,807.6564331054688,448.5406188964844,819.8065795898438,868.9161376953125,868.9161376953125,y
460,420.9739379882813,779.6910400390625,428.8232727050781,764.1495971679688,871.9207153320312,871.9207153320312,y
461,420.5437927246094,779.4423828125,427.9861755371094,763.6949462890625,871.75927734375,871.75927734375,y
462,420.7343444824219,777.1423950195312,428.5784606933594,764.7015991210938,872.0797119140625,872.0797119140625,y
463,420.7964782714844,777.1522827148438,428.6271362304688,764.7105712890625,872.1172485351562,872.1172485351562,y
464,420.7190246582031,776.8165893554688,428.56549072265625,764.4072265625,871.7921142578125,871.7921142578125,y
465,420.82952880859375,776.5863647460938,428.6043701171875,764.1707763671875,871.7133178710938,871.7133178710938,y
466,420.6855163574219,776.6436157226562,428.4285278320313,764.2489013671875,871.8195190429688,871.8195190429688,y
467,420.7782287597656,776.663330078125,428.5662536621094,764.2449340820312,868.7637939453125,868.7637939453125,y
468,420.9552612304688,776.7882690429688,428.6641845703125,764.3460693359375,868.565185546875,868.565185546875,y
469,420.8737487792969,776.894287109375,428.5624694824219,764.3952026367188,868.7568969726562,868.7568969726562,y
470,420.8292846679688,776.8187866210938,428.5025329589844,764.3082885742188,871.7612915039062,871.7612915039062,y
471,420.6706237792969,776.8834228515625,428.3960266113281,761.8070678710938,868.9119873046875,868.9119873046875,y
472,420.6243591308594,776.5856323242188,428.3679809570313,764.1105346679688,871.960205078125,871.960205078125,y
473,420.4787902832031,776.7127075195312,428.2037963867188,764.1998901367188,871.7498168945312,871.7498168945312,y
474,420.6977844238281,777.018798828125,428.3194580078125,761.8239135742188,871.7443237304688,871.7443237304688,y
475,420.5304260253906,776.9855346679688,428.34326171875,761.7928466796875,871.7708740234375,871.7708740234375,y
476,420.6170043945313,776.8305053710938,428.4918212890625,761.7015380859375,868.9298706054688,868.9298706054688,y
477,420.14447021484375,777.0162963867188,427.8922729492188,761.7971801757812,871.6749877929688,871.6749877929688,y
490,365.3880615234375,800.6475219726562,369.95806884765625,784.6690063476562,868.6458740234375,868.6458740234375,y
491,367.4741821289063,800.8516845703125,368.0176696777344,785.0574951171875,868.839111328125,868.839111328125,y
492,367.3982849121094,800.7860717773438,371.0666809082031,785.0147094726562,868.8406982421875,868.8406982421875,y
493,367.6638488769531,800.6799926757812,371.5252380371094,784.9163208007812,868.7421264648438,868.7421264648438,y
494,367.5527038574219,800.4555053710938,371.6710205078125,784.763916015625,868.858642578125,868.858642578125,y
495,367.7005920410156,800.3701782226562,371.77734375,784.6183471679688,871.8422241210938,871.8422241210938,y
496,367.7608642578125,800.0069580078125,371.7059631347656,784.2085571289062,868.5363159179688,868.5363159179688,y
540,412.3825378417969,775.8926391601562,419.79833984375,760.4933471679688,871.5743408203125,871.5743408203125,y
541,412.4247131347656,775.7507934570312,419.9283447265625,760.3334350585938,868.87109375,868.87109375,y
546,412.80706787109375,775.80712890625,420.2296142578125,760.3477172851562,868.7656860351562,868.7656860351562,y
547,412.9357604980469,775.818115234375,420.4207763671875,760.2567749023438,872.7157592773438,872.7157592773438,y
549,412.7467041015625,775.9052124023438,420.3539123535156,760.3290405273438,880.2500610351562,880.2500610351562,y
