frame,head_center_x,head_center_y,beak_tip_x,beak_tip_y,left_eye_x,left_eye_y,rigth_eye_x,rigth_eye_y,body_x,body_y,tail_x,tail_y,RF_x,RF_y,RF_visible
13067,531.4498291015625,432.3192443847656,555.8984375,449.11370849609375,540.5784301757812,413.7341613769531,519.5618896484375,445.5440368652344,522.9638061523438,376.4072265625,492.5918884277344,304.2208557128906,200,200,n
13068,531.2474365234375,432.27447509765625,555.8514404296875,448.9327392578125,540.357177734375,413.5560302734375,519.5411376953125,445.6848754882813,523.2633666992188,376.6111450195313,492.39013671875,304.5214233398437,200,200,n
13069,531.1246948242188,432.12744140625,555.7579956054688,448.9402770996094,540.312744140625,413.5471801757813,519.21435546875,445.55804443359375,522.7220458984375,376.2776184082031,494.44427490234375,304.3528747558594,200,200,n
13070,531.0684204101562,432.1891479492188,555.6690673828125,449.0593872070313,540.2478637695312,413.4785461425781,519.1395263671875,445.5249938964844,522.8660278320312,376.80902099609375,494.7373046875,304.67462158203125,200,200,n
13071,531.0805053710938,432.479248046875,551.21533203125,448.9918518066406,540.35400390625,416.66021728515625,519.9940795898438,444.0349426269531,522.6948852539062,379.3214721679688,494.7274169921875,304.8255310058594,200,200,n
13296,485.015625,440.7467041015625,488.727783203125,472.8103637695313,508.3356323242188,429.9993286132813,508.239990234375,429.4063720703125,524.721435546875,380.8318481445313,537.325927734375,297.03369140625,200,200,y
13299,515.6331787109375,420.0662231445313,540.2378540039062,433.0349731445313,524.4447631835938,404.3577270507813,503.3503723144531,433.5739135742188,524.041748046875,373.5509033203125,520.5021362304688,284.4661865234375,200,200,n
13300,515.3680419921875,418.8468627929688,543.1923217773438,432.5965576171875,524.0304565429688,401.1728515625,503.6754455566406,432.9200744628906,523.822021484375,374.9202270507813,520.1375732421875,291.0876159667969,200,200,n
13301,515.6578979492188,417.1233520507813,543.3133544921875,433.0357055664063,524.235595703125,401.11920166015625,503.83050537109375,432.96685791015625,526.6680297851562,373.2251586914063,524.1640625,293.46368408203125,200,200,n
13302,515.441162109375,417.07269287109375,543.0829467773438,432.76416015625,524.1141357421875,400.90325927734375,503.9936828613281,432.9374694824219,527.0055541992188,372.597900390625,526.5670776367188,296.1522521972656,200,200,n
13303,515.7010498046875,416.7693481445313,543.1804809570312,432.58978271484375,524.2228393554688,400.5841674804688,504.2242126464844,432.5509643554688,527.154541015625,372.5021667480469,526.8245849609375,296.4796142578125,200,200,n
13304,516.5643310546875,417.0399169921875,544.1814575195312,432.7600708007813,525.0582275390625,400.6288757324219,505.0917663574219,433.2161865234375,527.914794921875,372.9154968261719,525.0850830078125,296.9969787597656,200,200,n
13305,516.3209838867188,417.1675109863281,543.9630126953125,433.1324462890625,524.8433227539062,400.937744140625,504.6165466308594,433.285400390625,527.7257690429688,373.1292724609375,527.385498046875,297.6080627441406,200,200,n
13306,516.4954833984375,418.7751770019531,544.2142333984375,434.5942993164063,524.9275512695312,400.68157958984375,504.654541015625,434.6596374511719,528.33837890625,372.2294006347656,527.9041748046875,298.7890319824219,200,200,n
13307,515.9091796875,418.9791870117188,543.6650390625,434.87896728515625,524.5812377929688,400.7165832519531,504.1993408203125,434.85638427734375,527.7910766601562,372.3921508789063,527.585693359375,299.29949951171875,200,200,n
13308,515.8026123046875,419.1069946289063,543.5198364257812,434.9485168457031,524.5014038085938,400.92425537109375,504.3528442382813,434.9884338378906,524.8821411132812,375.01507568359375,527.7268676757812,299.6623840332031,200,200,n
